Epoch  0 : Train Loss 1.218973 , Train acc 0.162098, Valid acc 0.160327
Epoch  2 : Train Loss 0.126423 , Train acc 0.115789, Valid acc 0.114525
Epoch  4 : Train Loss 0.096725 , Train acc 0.090856, Valid acc 0.089300
Epoch  6 : Train Loss 0.079395 , Train acc 0.075691, Valid acc 0.075035
Epoch  8 : Train Loss 0.068477 , Train acc 0.066022, Valid acc 0.065628
Epoch 10 : Train Loss 0.061235 , Train acc 0.059451, Valid acc 0.058663
Epoch 12 : Train Loss 0.055931 , Train acc 0.054662, Valid acc 0.053800
Epoch 14 : Train Loss 0.051970 , Train acc 0.050963, Valid acc 0.050854
Epoch 16 : Train Loss 0.048905 , Train acc 0.048093, Valid acc 0.047830
Epoch 18 : Train Loss 0.046418 , Train acc 0.045780, Valid acc 0.045494
Epoch 20 : Train Loss 0.044404 , Train acc 0.043873, Valid acc 0.043687
Epoch 22 : Train Loss 0.042720 , Train acc 0.042261, Valid acc 0.042008
Epoch 24 : Train Loss 0.041309 , Train acc 0.040895, Valid acc 0.040788
Epoch 26 : Train Loss 0.040069 , Train acc 0.039748, Valid acc 0.039718
Epoch 28 : Train Loss 0.039042 , Train acc 0.038778, Valid acc 0.038771
Epoch 30 : Train Loss 0.038142 , Train acc 0.037862, Valid acc 0.037799
Epoch 32 : Train Loss 0.037349 , Train acc 0.037151, Valid acc 0.036972
Epoch 34 : Train Loss 0.036635 , Train acc 0.036446, Valid acc 0.036389
Epoch 36 : Train Loss 0.036044 , Train acc 0.035838, Valid acc 0.036021
Epoch 38 : Train Loss 0.035531 , Train acc 0.035331, Valid acc 0.035223
Epoch 40 : Train Loss 0.035009 , Train acc 0.034903, Valid acc 0.035026
Epoch 42 : Train Loss 0.034574 , Train acc 0.034431, Valid acc 0.034508
Epoch 44 : Train Loss 0.034178 , Train acc 0.034037, Valid acc 0.034036
Epoch 46 : Train Loss 0.033807 , Train acc 0.033688, Valid acc 0.033762
Epoch 48 : Train Loss 0.033487 , Train acc 0.033369, Valid acc 0.033465
Epoch 50 : Train Loss 0.033199 , Train acc 0.033107, Valid acc 0.033086
Epoch 52 : Train Loss 0.032880 , Train acc 0.032793, Valid acc 0.032829
Epoch 54 : Train Loss 0.032624 , Train acc 0.032554, Valid acc 0.032759
Epoch 56 : Train Loss 0.032376 , Train acc 0.032320, Valid acc 0.032504
Epoch 58 : Train Loss 0.032149 , Train acc 0.032084, Valid acc 0.032126
Epoch 60 : Train Loss 0.031951 , Train acc 0.031874, Valid acc 0.031968
Epoch 62 : Train Loss 0.031776 , Train acc 0.031675, Valid acc 0.031733
Epoch 64 : Train Loss 0.031553 , Train acc 0.031488, Valid acc 0.031455
Epoch 66 : Train Loss 0.031377 , Train acc 0.031322, Valid acc 0.031417
Epoch 68 : Train Loss 0.031220 , Train acc 0.031143, Valid acc 0.031172
Epoch 70 : Train Loss 0.031032 , Train acc 0.030988, Valid acc 0.031141
Epoch 72 : Train Loss 0.030881 , Train acc 0.030821, Valid acc 0.030927
Epoch 74 : Train Loss 0.030728 , Train acc 0.030685, Valid acc 0.030865
Epoch 76 : Train Loss 0.030592 , Train acc 0.030534, Valid acc 0.030668
Epoch 78 : Train Loss 0.030459 , Train acc 0.030398, Valid acc 0.030624
Epoch 80 : Train Loss 0.030309 , Train acc 0.030272, Valid acc 0.030265
Epoch 82 : Train Loss 0.030204 , Train acc 0.030155, Valid acc 0.030287
Epoch 84 : Train Loss 0.030080 , Train acc 0.030037, Valid acc 0.030249
Epoch 86 : Train Loss 0.029968 , Train acc 0.029915, Valid acc 0.029921
Epoch 88 : Train Loss 0.029840 , Train acc 0.029803, Valid acc 0.030055
Epoch 90 : Train Loss 0.029729 , Train acc 0.029697, Valid acc 0.029786
Epoch 92 : Train Loss 0.029624 , Train acc 0.029580, Valid acc 0.029773
Epoch 94 : Train Loss 0.029507 , Train acc 0.029484, Valid acc 0.029647
Epoch 96 : Train Loss 0.029408 , Train acc 0.029371, Valid acc 0.029392
Epoch 98 : Train Loss 0.029310 , Train acc 0.029272, Valid acc 0.029416
Epoch 100 : Train Loss 0.029212 , Train acc 0.029192, Valid acc 0.029248
Epoch 102 : Train Loss 0.029111 , Train acc 0.029081, Valid acc 0.029155
Epoch 104 : Train Loss 0.029031 , Train acc 0.029004, Valid acc 0.029161
Epoch 106 : Train Loss 0.028934 , Train acc 0.028901, Valid acc 0.029120
Epoch 108 : Train Loss 0.028859 , Train acc 0.028836, Valid acc 0.028893
Epoch 110 : Train Loss 0.028745 , Train acc 0.028723, Valid acc 0.028765
Epoch 112 : Train Loss 0.028665 , Train acc 0.028655, Valid acc 0.028787
Epoch 114 : Train Loss 0.028589 , Train acc 0.028570, Valid acc 0.028876
Epoch 116 : Train Loss 0.028517 , Train acc 0.028518, Valid acc 0.028558
Epoch 118 : Train Loss 0.028435 , Train acc 0.028425, Valid acc 0.028519
Epoch 120 : Train Loss 0.028381 , Train acc 0.028367, Valid acc 0.028476
Epoch 122 : Train Loss 0.028287 , Train acc 0.028261, Valid acc 0.028463
Epoch 124 : Train Loss 0.028203 , Train acc 0.028174, Valid acc 0.028285
Epoch 126 : Train Loss 0.028134 , Train acc 0.028117, Valid acc 0.028245
Epoch 128 : Train Loss 0.028064 , Train acc 0.028057, Valid acc 0.028143
Epoch 130 : Train Loss 0.028004 , Train acc 0.027967, Valid acc 0.027991
Epoch 132 : Train Loss 0.027930 , Train acc 0.027905, Valid acc 0.027967
Epoch 134 : Train Loss 0.027873 , Train acc 0.027858, Valid acc 0.027906
Epoch 136 : Train Loss 0.027817 , Train acc 0.027783, Valid acc 0.027877
Epoch 138 : Train Loss 0.027737 , Train acc 0.027746, Valid acc 0.027905
Epoch 140 : Train Loss 0.027678 , Train acc 0.027654, Valid acc 0.027810
Epoch 142 : Train Loss 0.027612 , Train acc 0.027592, Valid acc 0.027739
Epoch 144 : Train Loss 0.027543 , Train acc 0.027535, Valid acc 0.027651
Epoch 146 : Train Loss 0.027503 , Train acc 0.027457, Valid acc 0.027526
Epoch 148 : Train Loss 0.027441 , Train acc 0.027402, Valid acc 0.027633
Epoch 150 : Train Loss 0.027367 , Train acc 0.027343, Valid acc 0.027476
Epoch 152 : Train Loss 0.027323 , Train acc 0.027305, Valid acc 0.027500
Epoch 154 : Train Loss 0.027265 , Train acc 0.027235, Valid acc 0.027329
Epoch 156 : Train Loss 0.027214 , Train acc 0.027180, Valid acc 0.027335
Epoch 158 : Train Loss 0.027154 , Train acc 0.027130, Valid acc 0.027394
Epoch 160 : Train Loss 0.027099 , Train acc 0.027091, Valid acc 0.027273
Epoch 162 : Train Loss 0.027037 , Train acc 0.027013, Valid acc 0.027298
Epoch 164 : Train Loss 0.026991 , Train acc 0.026967, Valid acc 0.027140
Epoch 166 : Train Loss 0.026946 , Train acc 0.026926, Valid acc 0.027183
Epoch 168 : Train Loss 0.026891 , Train acc 0.026868, Valid acc 0.027073
Epoch 170 : Train Loss 0.026844 , Train acc 0.026829, Valid acc 0.026928
Epoch 172 : Train Loss 0.026825 , Train acc 0.026809, Valid acc 0.026898
Epoch 174 : Train Loss 0.026763 , Train acc 0.026741, Valid acc 0.026889
